Front,Back,Topic,Difficulty,Created
"What is the time complexity of insertion sort in best, average, and worst cases?","Best: O(n) when array is already sorted
Average: O(n²)
Worst: O(n²) when array is reverse sorted
Space: O(1) auxiliary",Sorting Algorithms,Medium,2025-09-05T19:54:39.882776
Describe the insertion sort algorithm and when it's most effective.,"Works like sorting playing cards. For each element, find correct position in sorted portion and insert.
Most effective for: small arrays (n < 50), nearly sorted arrays, online algorithms (can sort as data arrives)",Sorting Algorithms,Medium,2025-09-05T19:54:39.882799
What is the recurrence relation for merge sort and its solution?,"T(n) = 2T(n/2) + Θ(n)
Solution: T(n) = Θ(n log n) by Master Theorem (Case 2)
Divide array in half, recursively sort, then merge in linear time",Sorting Algorithms,Medium,2025-09-05T19:54:39.882801
What are the advantages and disadvantages of merge sort?,"Advantages: Stable sort, guaranteed O(n log n), good for external sorting, parallelizable
Disadvantages: O(n) extra space, not in-place, slower than quicksort in practice for small arrays",Sorting Algorithms,Medium,2025-09-05T19:54:39.882802
How does the BUILD-MAX-HEAP operation achieve O(n) time complexity?,"Calls MAX-HEAPIFY on nodes n/2 down to 1. Most nodes are leaves (no work), higher levels do more work but fewer nodes.
Analysis: Σ(h=0 to lg n) ⌈n/2^(h+1)⌉ * O(h) = O(n)",Sorting Algorithms,Hard,2025-09-05T19:54:39.882804
Compare heapsort with quicksort and merge sort.,"Heapsort: O(n log n) guaranteed, O(1) space, not stable, poor cache performance
Quicksort: O(n log n) average, O(1) space, not stable, good cache performance
Merge sort: O(n log n) guaranteed, O(n) space, stable, good for external sorting",Sorting Algorithms,Medium,2025-09-05T19:54:39.882805
Why is randomized quicksort's expected time O(n log n)?,"Expected depth is O(log n) because random pivot likely creates balanced partitions.
E[T(n)] = E[partitioning cost] + E[recursive calls]
With high probability, each level processes O(n) elements, total O(n log n)",Sorting Algorithms,Hard,2025-09-05T19:54:39.882806
What is the role of the PARTITION subroutine in quicksort?,"Rearranges subarray A[p..r] so pivot element is in final position.
All elements ≤ pivot are to its left, all elements ≥ pivot are to its right.
Returns pivot's final index. Time: Θ(n), Space: O(1)",Sorting Algorithms,Medium,2025-09-05T19:54:39.882807
Under what conditions can counting sort achieve O(n + k) time?,"When input consists of integers in range [0, k] where k = O(n).
Uses auxiliary array of size k to count occurrences.
Stable: maintains relative order of equal elements
Not comparison-based, so bypasses Ω(n log n) lower bound",Sorting Algorithms,Medium,2025-09-05T19:54:39.882808
How does radix sort achieve linear time for integers?,"Sorts d-digit numbers by sorting on each digit (least to most significant).
Uses stable sorting (like counting sort) for each digit.
Time: O(d(n + k)) where d = number of digits, k = range of each digit
For fixed-width integers, d is constant → O(n)",Sorting Algorithms,Medium,2025-09-05T19:54:39.882809
